year,make,model,variant,Body Type,No. of Seats,Build Date,Compliance Date,VIN,Registration No,Registration State,Registration Expiry Date,No. of Plates,No. of Cylinders,Engine Capacity,Fuel Type,Transmission,Indicated Odometer Reading,Odometer Measurement,Exterior Colour,Interior Colour,Key,Spare Key,Owners Manual,Service History,Engine Turns Over,Location,date,bids,price,url
2013,Nissan,Pathfinder,ST (4x4) R52 CVT 7 Seats Wagon,Wagon,7,2013-11,2014-05,5N1AR2MM1EC648029,?,?,?,0,6,3.5,Petrol,CVT,178830,kilometre,Blue,Black,Yes,No,No,No,Yes,QLD,2025-04-22,28.0,0,https://www.grays.com/lot/0001-50514888/motor-vehicles-motor-cycles/2013-nissan-pathfinder-st-4x4-r52-cvt-7-seats-wagon
2007,Mitsubishi,Triton,GLX (4x4) ML Turbo Diesel Manual Dual Cab,Dual Cab,5,2007-05,2007-05,MMBJNKB807D120697,No plates,NSW,?,0,4,3.2,Diesel,Manual,283352,kilometre,White,Grey,Yes,No,Yes,Yes,Yes,NSW,2025-04-09,38.0,0,https://www.grays.com/lot/0001-10910731/motor-vehicles-motor-cycles/2007-mitsubishi-triton-glx-4x4-ml-turbo-diesel-manual-dual-cab
2017,Mitsubishi,Outlander,LS 2WD SAFETY PACK ZK CVT Wagon,Wagon,7,2017-07,2017-07,JMFXTGF7WJZ000702,1MG4ZD,VIC,30-04-2025,2,4,2,Petrol,CVT,276144,kilometre,White,Black,Yes,Yes,No,No,Yes,VIC,2025-04-16,75.0,0,https://www.grays.com/lot/0001-21047276/motor-vehicles-motor-cycles/2017-mitsubishi-outlander-ls-2wd-safety-pack-zk-cvt-wagon
2015,Subaru,Forester,2.0D-S S4 Turbo Diesel CVT Wagon,Wagon,5,2015-06,2015-08,JF2SJDKY5FG055757,?,?,?,2,4,2,Diesel,CVT,146094,kilometre,Grey,Black,Yes,Yes,Yes,Yes,Yes,QLD,2025-03-26,46.0,0,https://www.grays.com/lot/0001-50514410/motor-vehicles-motor-cycles/2015-subaru-forester-2-0d-s-s4-turbo-diesel-cvt-wagon
2014,Nissan,X-Trail,ST FWD T32 CVT Wagon,Wagon,5,2014-10,2014-12,JN1TBAT32A0500609,CWK52X,NSW,?,0,4,2.5,Petrol,CVT,237053,kilometre,White,Black,Yes,Yes,Yes,No,Yes,NSW,2025-03-09,40.0,0,https://www.grays.com/lot/0001-10910393/motor-vehicles-motor-cycles/2014-nissan-x-trail-st-fwd-t32-cvt-wagon
2010,Dodge,Nitro,SX Automatic Wagon,Wagon,5,2010-05,2010-07,1D4P92GK6AW165799,?,?,?,0,6,3.7,Petrol,Automatic,168103,kilometre,Black,Grey,Yes,No,Yes,Yes,Yes,QLD,2025-04-02,6.0,0,https://www.grays.com/lot/0001-50514539/motor-vehicles-motor-cycles/2010-dodge-nitro-sx-automatic-wagon
2018,Mercedes,Benz,GLC-CLASS GLC200 X253 9 auto Wagon,Wagon,5,2018-08,2018-10,WDC2539422F524554,DZX68S,NSW,?,0,4,2,Petrol,9 auto,81688,kilometre,White,Black Leather,Yes,No,Yes,Yes,Yes,NSW,2025-03-26,151.0,0,https://www.grays.com/lot/0001-10910586/motor-vehicles-motor-cycles/2018-mercedes-benz-glc-class-glc200-x253-9-auto-wagon
2019,LDV,T60,PRO Turbo Diesel Manual Dual Cab,Dual Cab Chassis,5,2019-03,2019-07,LSFAM11AXKA058015,?,?,?,0,4,2.8,Diesel,Manual,132457,kilometre,Blue,Black,Yes,Yes,Yes,No,Yes,QLD,2025-03-06,84.0,0,https://www.grays.com/lot/0001-50514080/motor-vehicles-motor-cycles/2019-ldv-t60-pro-turbo-diesel-manual-dual-cab
2011,BMW,7,40i F01 Automatic Sedan,Sedan,5,2011-05,2012-01,WBAKA42070C378418,1YF5WA,VIC,19-07-2025,2,6,3,Petrol,Automatic,256860,kilometre,Black,Cream Leather,Yes,Yes,Yes,Yes,Yes,VIC,2025-04-06,140.0,0,https://www.grays.com/lot/0001-21046680/motor-vehicles-motor-cycles/2011-bmw-7-40i-f01-automatic-sedan
2006,Nissan,Navara,ST-R 4X4 DOUBLE CAB D22 Turbo Diesel Manual Dual Cab,Dual Cab Chassis,5,2006-10,2006-12,JN1CNUD22A0061334,No plates,VIC,?,2,4,3,Diesel,Manual,342126,kilometre,Silver,Grey,Yes,No,No,Yes,Yes,VIC,2025-03-31,,0,https://www.grays.com/lot/0001-21046437/motor-vehicles-motor-cycles/2006-nissan-navara-st-r-4x4-double-cab-d22-turbo-diesel-manual-dual-cab
